pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,loneliness_zscore
AL100BS,2016,3171.916667,Q58,06K,522443,208996,E01023927,E02004990,C1,E12000006,E07000241,115,-0.696324217
AL100NL,2016,4195,Q58,06K,522442,208808,E01023920,E02004991,C1,E12000006,E07000241,-35,-0.086704556
AL108HP,2016,3262.916667,Q58,06K,522445,208444,E01023922,E02004991,C1,E12000006,E07000241,23,0.439029144
AL13HD,2016,6716.833333,Q58,06N,515076,207747,E01023676,E02004934,C1,E12000006,E07000240,107,-0.810175122
AL13JB,2016,6149.666667,Q58,06N,514829,207213,E01023727,E02004935,C1,E12000006,E07000240,-50,-0.482521081
AL14JE,2016,1268.5,Q58,06N,515904,207232,E01023676,E02004934,C1,E12000006,E07000240,107,0.262919332
AL21ES,2016,1388.25,Q58,06N,517363,204271,E01033028,E02004941,C1,E12000006,E07000240,120,-0.034885263
AL23JX,2016,4148.666667,Q58,06N,513666,205184,E01023718,E02004942,C1,E12000006,E07000240,89,-0.731221259
AL35ER,2016,2964.083333,Q58,06N,514705,207519,E01023728,E02004935,C1,E12000006,E07000240,7,-1.321717291
AL35HB,2016,4353.333333,Q58,06N,514669,207465,E01023728,E02004935,C1,E12000006,E07000240,7,-0.842388826
AL35NF,2016,3313.166667,Q58,06N,514956,207822,E01023728,E02004935,C1,E12000006,E07000240,7,-0.457483477
AL35NP,2016,4266.5,Q58,06N,514557,208092,E01023670,E02004932,C1,E12000006,E07000240,41,0.138122437
AL37BL,2016,2517.333333,Q58,06N,510675,212320,E01023724,E02004929,D1,E12000006,E07000240,-30,-0.976462351
AL38LJ,2016,1363.583333,Q58,06N,506287,216438,E01023432,E02004856,D1,E12000006,E07000096,-31,0.336333132
AL52BT,2016,5333.833333,Q58,06N,513330,214114,E01023701,E02004926,C1,E12000006,E07000240,96,-0.244095288
AL54HX,2016,4166.333333,Q58,06N,513518,214340,E01023701,E02004926,C1,E12000006,E07000240,96,-1.44752664
AL54QA,2016,4935.083333,Q58,06N,513688,214647,E01023689,E02004925,C1,E12000006,E07000240,11,-1.090056902
AL69EF,2016,5410.5,Q58,06K,523032,216103,E01023969,E02004981,C1,E12000006,E07000241,50,0.497734361
AL73UJ,2016,7174.416667,Q58,06K,524364,212468,E01023954,E02004986,C1,E12000006,E07000241,16,0.245378846
AL74HL,2016,2730.333333,Q58,06K,524835,210869,E01023942,E02004988,C1,E12000006,E07000241,12,-1.330043277
AL74PL,2016,5192,Q58,06K,525501,211637,E01023946,E02004987,C1,E12000006,E07000241,-82,0.105656623
AL87QG,2016,3325.916667,Q58,06K,523855,214456,E01023960,E02004982,C1,E12000006,E07000241,-39,0.457332868
AL97SN,2016,5231.916667,Q58,06K,523823,204652,E01023964,E02004993,E1,E12000006,E07000241,-127,0.158252569
B100BS,2016,2104.416667,Q54,04X,409455,285472,E01009363,E02001897,A1,E12000005,E08000025,45,0.472341131
B100JL,2016,2828.666667,Q54,13P,410395,285388,E01009337,E02001896,A1,E12000005,E08000025,76,-2.74488468
B100TU,2016,888.25,Q54,13P,410531,285386,E01009337,E02001896,A1,E12000005,E08000025,76,-1.053616473
B100UG,2016,4266.833333,Q54,13P,409690,285796,E01009332,E02006900,A1,E12000005,E08000025,-39,-1.759579322
B109AB,2016,1738.5,Q54,04X,410244,286040,E01009328,E02006900,A1,E12000005,E08000025,-47,-0.525500272
B109QE,2016,1837.333333,Q54,13P,409479,286078,E01009332,E02006900,A1,E12000005,E08000025,-39,-2.027838309
B111LU,2016,2624.916667,Q54,04X,408839,284976,E01009368,E02001903,A1,E12000005,E08000025,-29,-1.047639638
